sample15
ax,ay,az
0.15,-0.01,-0.98
0.13,-0.02,-0.98
0.10,-0.02,-0.98
0.08,-0.03,-0.99
0.05,-0.04,-0.99
0.02,-0.05,-0.99
-0.00,-0.05,-0.99
-0.03,-0.06,-0.99
-0.03,-0.06,-0.98
-0.03,-0.06,-0.98
-0.03,-0.06,-0.98
-0.03,-0.05,-0.98
-0.03,-0.05,-0.98
-0.03,-0.05,-0.97
-0.03,-0.05,-0.97
-0.04,-0.05,-0.97
-0.04,-0.05,-0.96
-0.04,-0.06,-0.96
-0.05,-0.06,-0.96
-0.05,-0.06,-0.95
-0.05,-0.06,-0.95
-0.05,-0.07,-0.95
-0.05,-0.07,-0.94
-0.06,-0.08,-0.93
-0.06,-0.09,-0.91
-0.07,-0.10,-0.90
-0.08,-0.11,-0.88
-0.09,-0.12,-0.85
-0.10,-0.14,-0.83
-0.12,-0.15,-0.80
-0.14,-0.17,-0.77
-0.15,-0.18,-0.74
-0.17,-0.19,-0.71
-0.19,-0.20,-0.68
-0.20,-0.21,-0.65
-0.20,-0.21,-0.63
-0.20,-0.21,-0.62
-0.19,-0.20,-0.61
-0.18,-0.19,-0.61
-0.16,-0.18,-0.61
-0.14,-0.17,-0.62
-0.11,-0.16,-0.62
-0.08,-0.16,-0.64
-0.06,-0.15,-0.66
-0.04,-0.14,-0.69
-0.03,-0.13,-0.72
-0.02,-0.12,-0.76
-0.02,-0.12,-0.80
-0.02,-0.12,-0.86
-0.02,-0.12,-0.91
-0.02,-0.12,-0.97
-0.03,-0.13,-1.03
-0.03,-0.15,-1.08
-0.04,-0.17,-1.13
-0.04,-0.19,-1.18
-0.04,-0.21,-1.22
-0.04,-0.24,-1.25
-0.04,-0.26,-1.29
-0.04,-0.28,-1.31
-0.03,-0.30,-1.33
-0.03,-0.32,-1.35
-0.03,-0.33,-1.36
-0.03,-0.34,-1.37
-0.03,-0.35,-1.38
-0.04,-0.35,-1.39
-0.04,-0.36,-1.40
-0.06,-0.36,-1.41
-0.08,-0.36,-1.42
-0.10,-0.36,-1.43
-0.12,-0.37,-1.43
-0.14,-0.37,-1.44
-0.16,-0.36,-1.43
-0.18,-0.36,-1.43
-0.19,-0.36,-1.42
-0.20,-0.35,-1.41
-0.21,-0.34,-1.40
-0.22,-0.33,-1.38
-0.23,-0.33,-1.37
-0.24,-0.32,-1.36
-0.25,-0.31,-1.36
-0.25,-0.30,-1.35
-0.26,-0.29,-1.34
-0.26,-0.29,-1.33
-0.25,-0.29,-1.32
-0.24,-0.29,-1.31
-0.23,-0.30,-1.29
-0.21,-0.30,-1.27
-0.18,-0.31,-1.25
-0.15,-0.31,-1.22
-0.11,-0.31,-1.18
-0.08,-0.30,-1.15
-0.04,-0.30,-1.11
-0.01,-0.29,-1.07
0.02,-0.28,-1.03
0.05,-0.27,-0.98
0.07,-0.25,-0.94
0.09,-0.23,-0.90
0.12,-0.22,-0.85
0.14,-0.20,-0.80
0.16,-0.18,-0.75
0.18,-0.16,-0.70
0.20,-0.14,-0.65
0.22,-0.11,-0.61
0.24,-0.09,-0.56
0.26,-0.07,-0.52
0.27,-0.05,-0.49
0.27,-0.04,-0.47
0.28,-0.02,-0.45
0.27,-0.01,-0.44
0.26,0.01,-0.43
0.25,0.02,-0.44
0.24,0.03,-0.44
0.22,0.03,-0.45
0.20,0.04,-0.46
0.18,0.04,-0.47
0.17,0.04,-0.49
0.15,0.04,-0.50
0.14,0.04,-0.51
0.12,0.03,-0.53
0.11,0.03,-0.54
0.09,0.03,-0.56
0.08,0.02,-0.57
0.06,0.01,-0.59
0.05,0.00,-0.60
0.03,-0.01,-0.62
0.02,-0.02,-0.64
0.00,-0.03,-0.65
-0.01,-0.04,-0.67
-0.01,-0.06,-0.68
-0.01,-0.08,-0.69
-0.01,-0.09,-0.70
0.00,-0.11,-0.71
0.01,-0.13,-0.73
0.02,-0.15,-0.75
0.03,-0.16,-0.78
0.04,-0.17,-0.82
0.05,-0.18,-0.86
0.06,-0.19,-0.90
0.07,-0.20,-0.95
0.08,-0.20,-1.00
0.09,-0.21,-1.06
0.10,-0.21,-1.11
0.11,-0.22,-1.16
0.11,-0.22,-1.22
0.12,-0.23,-1.26
0.13,-0.23,-1.31
0.14,-0.22,-1.34
0.15,-0.21,-1.36
0.15,-0.20,-1.37
0.16,-0.18,-1.37
0.16,-0.16,-1.36
0.16,-0.14,-1.34
0.15,-0.12,-1.32
0.15,-0.10,-1.31
0.14,-0.08,-1.29
0.14,-0.06,-1.27
0.13,-0.05,-1.24
0.12,-0.03,-1.23
0.12,-0.02,-1.21
0.11,-0.02,-1.20
0.10,-0.02,-1.19
0.10,-0.02,-1.18
0.09,-0.02,-1.18
0.08,-0.03,-1.19
0.06,-0.04,-1.20
0.05,-0.05,-1.22
0.03,-0.06,-1.24
0.01,-0.07,-1.27
-0.01,-0.08,-1.28
-0.03,-0.08,-1.30
-0.06,-0.08,-1.31
-0.08,-0.09,-1.32
-0.10,-0.09,-1.33
-0.12,-0.09,-1.33
-0.14,-0.09,-1.34
-0.16,-0.09,-1.34
-0.17,-0.10,-1.35
-0.18,-0.10,-1.35
-0.18,-0.11,-1.35
-0.18,-0.11,-1.34
-0.17,-0.12,-1.33
-0.16,-0.12,-1.32
-0.14,-0.12,-1.30
-0.12,-0.12,-1.28
-0.10,-0.12,-1.25
-0.07,-0.12,-1.23
-0.04,-0.12,-1.21
-0.01,-0.12,-1.18
0.03,-0.12,-1.16
0.06,-0.12,-1.14
0.09,-0.12,-1.12
0.12,-0.12,-1.11
0.14,-0.12,-1.10
0.16,-0.11,-1.08
0.18,-0.11,-1.06
0.19,-0.10,-1.05
0.21,-0.10,-1.04
0.22,-0.09,-1.02
0.23,-0.08,-1.00
0.24,-0.08,-0.98
0.25,-0.07,-0.95
0.26,-0.06,-0.92
0.26,-0.05,-0.89
0.27,-0.04,-0.86
0.26,-0.03,-0.82
0.26,-0.01,-0.79
0.25,-0.01,-0.76
0.25,0.00,-0.73
0.23,0.01,-0.72
0.22,0.01,-0.70
0.20,0.01,-0.70
0.18,0.02,-0.70
0.16,0.03,-0.69
0.14,0.03,-0.69
0.12,0.04,-0.70
0.10,0.05,-0.70
0.08,0.06,-0.70
0.06,0.06,-0.71
0.05,0.07,-0.71
0.05,0.07,-0.72
0.04,0.06,-0.74
0.03,0.06,-0.75
0.03,0.06,-0.77
0.03,0.06,-0.78
0.02,0.06,-0.79
0.02,0.06,-0.80
0.01,0.06,-0.81
0.01,0.06,-0.82
0.00,0.05,-0.84
0.00,0.05,-0.86
-0.00,0.04,-0.88
-0.00,0.04,-0.90
-0.00,0.03,-0.91
-0.00,0.03,-0.93
-0.00,0.02,-0.95
0.00,0.02,-0.97
0.00,0.01,-0.98
