sample13
ax,ay,az
0.27,-0.09,-0.78
0.27,-0.08,-0.78
0.26,-0.07,-0.78
0.26,-0.07,-0.78
0.25,-0.06,-0.78
0.25,-0.06,-0.78
0.24,-0.06,-0.79
0.23,-0.05,-0.79
0.23,-0.05,-0.79
0.22,-0.05,-0.80
0.22,-0.05,-0.80
0.21,-0.04,-0.81
0.20,-0.04,-0.82
0.19,-0.04,-0.83
0.18,-0.04,-0.84
0.18,-0.05,-0.85
0.17,-0.05,-0.86
0.17,-0.05,-0.88
0.16,-0.06,-0.89
0.16,-0.06,-0.91
0.15,-0.06,-0.92
0.15,-0.06,-0.93
0.15,-0.06,-0.94
0.15,-0.06,-0.95
0.15,-0.06,-0.96
0.15,-0.06,-0.97
0.16,-0.06,-0.97
0.16,-0.06,-0.97
0.16,-0.06,-0.98
0.17,-0.06,-0.98
0.17,-0.06,-0.98
0.18,-0.06,-0.99
0.18,-0.06,-0.99
0.19,-0.06,-1.00
0.19,-0.07,-1.00
0.19,-0.07,-1.01
0.19,-0.07,-1.01
0.19,-0.07,-1.01
0.20,-0.07,-1.02
0.20,-0.07,-1.02
0.20,-0.07,-1.02
0.20,-0.07,-1.02
0.20,-0.07,-1.02
0.20,-0.07,-1.02
0.20,-0.07,-1.02
0.20,-0.08,-1.02
0.20,-0.08,-1.02
0.20,-0.08,-1.02
0.19,-0.08,-1.02
0.19,-0.07,-1.01
0.19,-0.07,-1.01
0.19,-0.07,-1.00
0.19,-0.06,-0.99
0.19,-0.06,-0.99
0.19,-0.06,-0.98
0.19,-0.05,-0.98
0.19,-0.05,-0.97
0.18,-0.05,-0.97
0.18,-0.04,-0.97
0.17,-0.04,-0.97
0.16,-0.04,-0.97
0.16,-0.03,-0.97
0.15,-0.03,-0.98
0.14,-0.03,-0.98
0.14,-0.02,-0.98
0.13,-0.02,-0.99
0.13,-0.02,-0.99
0.13,-0.02,-0.99




