sample19
ax,ay,az
0.12,-0.03,-0.98
0.10,-0.05,-0.99
0.09,-0.07,-0.99
0.08,-0.09,-1.00
0.07,-0.11,-1.00
0.05,-0.13,-1.00
0.04,-0.15,-1.00
0.02,-0.18,-1.00
0.01,-0.18,-0.98
-0.00,-0.18,-0.96
-0.02,-0.19,-0.92
-0.04,-0.19,-0.89
-0.06,-0.19,-0.84
-0.08,-0.19,-0.79
-0.11,-0.19,-0.72
-0.13,-0.19,-0.64
-0.16,-0.19,-0.56
-0.18,-0.19,-0.48
-0.20,-0.19,-0.41
-0.22,-0.19,-0.35
-0.23,-0.20,-0.31
-0.25,-0.21,-0.29
-0.25,-0.22,-0.31
-0.25,-0.23,-0.36
-0.25,-0.26,-0.43
-0.25,-0.28,-0.51
-0.24,-0.31,-0.60
-0.23,-0.34,-0.69
-0.21,-0.36,-0.77
-0.18,-0.38,-0.84
-0.15,-0.40,-0.90
-0.12,-0.41,-0.94
-0.08,-0.43,-0.98
-0.04,-0.44,-1.02
-0.00,-0.45,-1.06
0.04,-0.46,-1.10
0.07,-0.48,-1.14
0.10,-0.50,-1.18
0.11,-0.52,-1.22
0.12,-0.55,-1.27
0.12,-0.58,-1.33
0.11,-0.60,-1.38
0.09,-0.62,-1.43
0.07,-0.64,-1.48
0.03,-0.65,-1.53
-0.01,-0.65,-1.58
-0.05,-0.64,-1.63
-0.08,-0.62,-1.66
-0.12,-0.60,-1.68
-0.15,-0.58,-1.70
-0.18,-0.56,-1.70
-0.21,-0.54,-1.70
-0.24,-0.53,-1.70
-0.26,-0.53,-1.69
-0.29,-0.53,-1.67
-0.31,-0.53,-1.65
-0.33,-0.54,-1.62
-0.34,-0.55,-1.58
-0.35,-0.56,-1.54
-0.35,-0.56,-1.48
-0.34,-0.57,-1.41
-0.33,-0.57,-1.33
-0.30,-0.56,-1.25
-0.27,-0.56,-1.15
-0.23,-0.54,-1.05
-0.18,-0.52,-0.95
-0.13,-0.49,-0.84
-0.08,-0.46,-0.73
-0.02,-0.42,-0.62
0.03,-0.37,-0.52
0.08,-0.32,-0.43
0.13,-0.27,-0.35
0.17,-0.22,-0.28
0.20,-0.17,-0.21
0.22,-0.12,-0.17
0.24,-0.07,-0.13
0.25,-0.03,-0.10
0.25,-0.00,-0.09
0.24,0.02,-0.07
0.23,0.04,-0.07
0.22,0.04,-0.06
0.20,0.04,-0.06
0.18,0.04,-0.07
0.15,0.03,-0.07
0.12,0.01,-0.09
0.09,-0.01,-0.11
0.05,-0.03,-0.15
0.01,-0.06,-0.19
-0.03,-0.09,-0.24
-0.07,-0.12,-0.31
-0.09,-0.16,-0.38
-0.11,-0.20,-0.47
-0.11,-0.26,-0.57
-0.10,-0.31,-0.67
-0.08,-0.37,-0.79
-0.04,-0.43,-0.90
0.02,-0.49,-1.00
0.08,-0.54,-1.10
0.15,-0.58,-1.18
0.21,-0.61,-1.25
0.28,-0.61,-1.29
0.33,-0.61,-1.33
0.36,-0.59,-1.35
0.38,-0.57,-1.36
0.38,-0.53,-1.35
0.37,-0.48,-1.34
0.34,-0.43,-1.34
0.31,-0.38,-1.33
0.27,-0.33,-1.32
0.23,-0.29,-1.31
0.18,-0.25,-1.31
0.15,-0.23,-1.31
0.11,-0.22,-1.32
0.08,-0.22,-1.34
0.04,-0.22,-1.38
0.01,-0.23,-1.41
-0.01,-0.25,-1.44
-0.03,-0.27,-1.48
-0.05,-0.30,-1.50
-0.07,-0.32,-1.53
-0.10,-0.33,-1.55
-0.12,-0.35,-1.57
-0.14,-0.36,-1.58
-0.17,-0.37,-1.58
-0.20,-0.38,-1.57
-0.23,-0.39,-1.56
-0.25,-0.40,-1.55
-0.27,-0.40,-1.53
-0.28,-0.40,-1.50
-0.29,-0.40,-1.48
-0.29,-0.40,-1.44
-0.28,-0.40,-1.41
-0.25,-0.40,-1.37
-0.22,-0.40,-1.32
-0.17,-0.41,-1.27
-0.11,-0.42,-1.21
-0.04,-0.43,-1.15
0.04,-0.45,-1.07
0.13,-0.45,-1.00
0.22,-0.46,-0.92
0.31,-0.45,-0.84
0.39,-0.44,-0.76
0.45,-0.41,-0.69
0.51,-0.37,-0.62
0.54,-0.33,-0.56
0.57,-0.28,-0.51
0.58,-0.23,-0.46
0.59,-0.18,-0.43
0.59,-0.13,-0.40
0.58,-0.08,-0.38
0.56,-0.04,-0.37
0.54,-0.00,-0.37
0.50,0.03,-0.37
0.47,0.05,-0.39
0.44,0.07,-0.41
0.40,0.08,-0.44
0.37,0.09,-0.47
0.34,0.09,-0.50
0.31,0.08,-0.54
0.28,0.07,-0.58
0.26,0.06,-0.62
0.23,0.06,-0.66
0.22,0.05,-0.70
0.20,0.04,-0.73
0.18,0.03,-0.77
0.17,0.02,-0.80
0.16,0.02,-0.82
0.15,0.01,-0.85
0.14,0.00,-0.87
0.14,-0.00,-0.90
0.14,-0.01,-0.92
