sample16
ax,ay,az
0.05,-0.09,-0.98
0.04,-0.10,-0.97
0.02,-0.10,-0.96
-0.00,-0.10,-0.95
-0.02,-0.11,-0.94
-0.05,-0.11,-0.92
-0.08,-0.12,-0.90
-0.11,-0.12,-0.88
-0.13,-0.13,-0.86
-0.16,-0.13,-0.84
-0.19,-0.14,-0.81
-0.22,-0.14,-0.78
-0.25,-0.14,-0.75
-0.28,-0.15,-0.71
-0.30,-0.16,-0.68
-0.32,-0.16,-0.64
-0.34,-0.17,-0.60
-0.34,-0.18,-0.57
-0.34,-0.19,-0.53
-0.34,-0.20,-0.50
-0.32,-0.21,-0.47
-0.30,-0.22,-0.46
-0.27,-0.22,-0.45
-0.25,-0.23,-0.46
-0.22,-0.24,-0.47
-0.20,-0.26,-0.51
-0.18,-0.27,-0.56
-0.17,-0.29,-0.63
-0.16,-0.30,-0.71
-0.15,-0.32,-0.80
-0.15,-0.34,-0.90
-0.15,-0.37,-0.99
-0.15,-0.39,-1.09
-0.14,-0.41,-1.17
-0.14,-0.43,-1.25
-0.14,-0.45,-1.32
-0.14,-0.47,-1.38
-0.15,-0.48,-1.43
-0.16,-0.50,-1.48
-0.17,-0.50,-1.52
-0.19,-0.50,-1.56
-0.22,-0.50,-1.59
-0.24,-0.50,-1.62
-0.27,-0.49,-1.65
-0.29,-0.48,-1.67
-0.31,-0.48,-1.68
-0.33,-0.48,-1.69
-0.35,-0.48,-1.69
-0.36,-0.47,-1.68
-0.37,-0.47,-1.66
-0.38,-0.47,-1.64
-0.39,-0.47,-1.61
-0.39,-0.47,-1.58
-0.39,-0.47,-1.54
-0.40,-0.46,-1.50
-0.39,-0.46,-1.46
-0.38,-0.46,-1.41
-0.36,-0.45,-1.35
-0.34,-0.44,-1.29
-0.31,-0.44,-1.22
-0.28,-0.43,-1.14
-0.24,-0.41,-1.06
-0.20,-0.40,-0.97
-0.15,-0.38,-0.89
-0.11,-0.35,-0.80
-0.06,-0.32,-0.72
-0.02,-0.28,-0.63
0.02,-0.25,-0.55
0.06,-0.21,-0.48
0.08,-0.17,-0.41
0.11,-0.13,-0.35
0.13,-0.10,-0.30
0.14,-0.07,-0.26
0.15,-0.04,-0.23
0.15,-0.02,-0.20
0.15,-0.01,-0.19
0.15,-0.00,-0.18
0.14,-0.00,-0.18
0.13,-0.00,-0.18
0.11,-0.01,-0.19
0.10,-0.03,-0.20
0.08,-0.04,-0.22
0.07,-0.06,-0.24
0.05,-0.09,-0.27
0.04,-0.11,-0.30
0.01,-0.14,-0.35
-0.01,-0.17,-0.41
-0.03,-0.20,-0.48
-0.06,-0.24,-0.56
-0.08,-0.28,-0.64
-0.11,-0.30,-0.73
-0.13,-0.32,-0.81
-0.15,-0.33,-0.88
-0.16,-0.31,-0.95
-0.16,-0.29,-1.02
-0.16,-0.26,-1.07
-0.15,-0.23,-1.12
-0.14,-0.19,-1.17
-0.12,-0.16,-1.21
-0.10,-0.13,-1.26
-0.09,-0.10,-1.30
-0.07,-0.09,-1.34
-0.05,-0.08,-1.37
-0.04,-0.07,-1.40
-0.03,-0.06,-1.43
-0.01,-0.05,-1.44
-0.00,-0.04,-1.46
0.00,-0.03,-1.46
0.01,-0.02,-1.46
0.01,-0.02,-1.47
0.01,-0.01,-1.47
0.01,-0.00,-1.46
0.00,0.00,-1.45
-0.01,0.01,-1.45
-0.03,0.01,-1.44
-0.04,0.01,-1.44
-0.06,0.01,-1.43
-0.08,0.00,-1.43
-0.11,-0.01,-1.43
-0.13,-0.02,-1.43
-0.15,-0.03,-1.43
-0.17,-0.05,-1.43
-0.19,-0.07,-1.42
-0.20,-0.08,-1.41
-0.21,-0.10,-1.40
-0.21,-0.12,-1.38
-0.21,-0.13,-1.36
-0.19,-0.14,-1.33
-0.18,-0.15,-1.30
-0.16,-0.16,-1.26
-0.15,-0.17,-1.22
-0.12,-0.17,-1.18
-0.10,-0.17,-1.14
-0.07,-0.17,-1.10
-0.05,-0.18,-1.06
-0.03,-0.18,-1.03
-0.00,-0.18,-0.99
0.02,-0.17,-0.95
0.04,-0.17,-0.92
0.06,-0.17,-0.90
0.08,-0.17,-0.87
0.09,-0.18,-0.86
0.11,-0.18,-0.85
0.12,-0.19,-0.84
0.14,-0.20,-0.83
0.15,-0.20,-0.83
0.16,-0.20,-0.83
0.17,-0.20,-0.83
0.18,-0.20,-0.82
0.19,-0.19,-0.81
0.19,-0.18,-0.80
0.20,-0.16,-0.79
0.20,-0.15,-0.78
0.20,-0.14,-0.77
0.20,-0.12,-0.76
0.20,-0.11,-0.75
0.19,-0.10,-0.75
0.18,-0.09,-0.74
0.18,-0.08,-0.74
0.17,-0.07,-0.74
0.15,-0.06,-0.75
0.14,-0.06,-0.75
0.13,-0.05,-0.76
0.12,-0.05,-0.77
0.11,-0.05,-0.78
0.10,-0.05,-0.79
0.09,-0.05,-0.80
0.09,-0.05,-0.82
0.08,-0.06,-0.83
0.07,-0.06,-0.85
0.06,-0.07,-0.87
0.05,-0.07,-0.88
0.04,-0.08,-0.90
0.03,-0.08,-0.92
0.03,-0.08,-0.93
0.03,-0.09,-0.94
0.03,-0.09,-0.95
0.03,-0.09,-0.96
0.03,-0.10,-0.97
0.03,-0.10,-0.98
0.04,-0.10,-0.99
0.04,-0.11,-1.00
0.05,-0.11,-1.01
0.05,-0.11,-1.01
0.06,-0.12,-1.02
0.07,-0.12,-1.02
0.07,-0.12,-1.02
0.08,-0.12,-1.03
0.08,-0.12,-1.03
0.09,-0.12,-1.03
0.09,-0.12,-1.03
0.09,-0.12,-1.03
0.10,-0.12,-1.02
0.10,-0.12,-1.02
0.10,-0.12,-1.02
0.10,-0.12,-1.02
0.10,-0.12,-1.01
0.10,-0.12,-1.01
0.10,-0.12,-1.00
0.10,-0.11,-1.00
0.09,-0.11,-1.00
0.09,-0.12,-1.00
0.09,-0.12,-1.00
0.09,-0.12,-1.00
0.09,-0.12,-1.00
0.08,-0.12,-1.00
0.08,-0.12,-1.00
0.08,-0.11,-1.00
0.08,-0.11,-0.99
0.08,-0.11,-0.99
0.07,-0.11,-0.98
0.07,-0.11,-0.98
0.07,-0.10,-0.98
0.07,-0.10,-0.98
0.07,-0.10,-0.97
0.07,-0.10,-0.97
0.07,-0.10,-0.97
0.07,-0.10,-0.97
0.06,-0.10,-0.97
0.06,-0.10,-0.98
0.06,-0.11,-0.98
0.06,-0.11,-0.98
0.06,-0.11,-0.99
0.05,-0.11,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-1.00
0.05,-0.12,-1.00
0.04,-0.12,-1.00
0.04,-0.13,-1.01
0.04,-0.13,-1.01
0.04,-0.13,-1.01
0.04,-0.13,-1.01
0.04,-0.13,-1.01
0.04,-0.13,-1.00
0.05,-0.12,-1.00
0.05,-0.12,-1.00
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.06,-0.12,-0.99
0.06,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-0.99
0.04,-0.12,-0.99
0.04,-0.12,-0.99
0.04,-0.12,-0.99
0.04,-0.11,-0.99
0.04,-0.11,-0.98
0.05,-0.11,-0.98
0.05,-0.11,-0.98
0.05,-0.11,-0.98
0.05,-0.11,-0.98
0.05,-0.11,-0.98
0.05,-0.11,-0.99
0.05,-0.11,-0.99
0.05,-0.12,-0.99
0.05,-0.12,-1.00
0.05,-0.12,-1.00
0.05,-0.13,-1.00
0.05,-0.13,-1.00
0.05,-0.13,-1.01
0.05,-0.13,-1.01
0.05,-0.13,-1.01
0.05,-0.13,-1.01
0.05,-0.12,-1.00
0.05,-0.12,-1.00
0.05,-0.12,-1.00
0.05,-0.11,-1.00
0.05,-0.11,-1.00
0.05,-0.11,-1.00
0.06,-0.11,-1.00
0.06,-0.11,-1.00
0.06,-0.11,-1.00
0.06,-0.11,-1.00
0.06,-0.11,-1.00
0.07,-0.11,-1.00
0.07,-0.12,-1.00
0.07,-0.12,-1.00
0.07,-0.12,-1.00




