sample14
ax,ay,az
0.09,-0.02,-0.99
0.06,-0.02,-0.98
0.03,-0.02,-0.98
-0.01,-0.02,-0.97
-0.04,-0.01,-0.96
-0.07,-0.01,-0.95
-0.10,-0.01,-0.94
-0.14,-0.01,-0.93
-0.14,-0.01,-0.92
-0.14,-0.01,-0.92
-0.15,-0.01,-0.91
-0.16,-0.02,-0.90
-0.17,-0.02,-0.88
-0.18,-0.03,-0.86
-0.20,-0.03,-0.84
-0.22,-0.04,-0.82
-0.24,-0.05,-0.79
-0.26,-0.06,-0.77
-0.28,-0.07,-0.73
-0.29,-0.08,-0.70
-0.30,-0.10,-0.66
-0.30,-0.11,-0.62
-0.30,-0.12,-0.59
-0.29,-0.13,-0.55
-0.27,-0.14,-0.51
-0.26,-0.14,-0.48
-0.23,-0.14,-0.45
-0.21,-0.14,-0.43
-0.19,-0.13,-0.44
-0.18,-0.12,-0.45
-0.17,-0.11,-0.48
-0.17,-0.10,-0.52
-0.17,-0.10,-0.58
-0.17,-0.09,-0.65
-0.18,-0.10,-0.73
-0.18,-0.11,-0.82
-0.19,-0.14,-0.92
-0.20,-0.17,-1.01
-0.20,-0.20,-1.10
-0.21,-0.24,-1.19
-0.21,-0.28,-1.27
-0.22,-0.32,-1.36
-0.24,-0.36,-1.43
-0.25,-0.39,-1.49
-0.27,-0.42,-1.54
-0.30,-0.45,-1.59
-0.32,-0.47,-1.63
-0.35,-0.48,-1.66
-0.39,-0.49,-1.69
-0.42,-0.50,-1.70
-0.46,-0.50,-1.71
-0.49,-0.49,-1.71
-0.52,-0.48,-1.70
-0.54,-0.47,-1.68
-0.56,-0.46,-1.66
-0.57,-0.45,-1.63
-0.56,-0.43,-1.59
-0.56,-0.42,-1.54
-0.54,-0.41,-1.49
-0.52,-0.40,-1.44
-0.50,-0.39,-1.39
-0.48,-0.37,-1.34
-0.46,-0.36,-1.29
-0.43,-0.35,-1.23
-0.40,-0.33,-1.18
-0.37,-0.32,-1.12
-0.34,-0.30,-1.05
-0.31,-0.28,-0.99
-0.28,-0.26,-0.92
-0.24,-0.23,-0.84
-0.21,-0.21,-0.77
-0.17,-0.18,-0.70
-0.13,-0.16,-0.62
-0.10,-0.13,-0.55
-0.06,-0.11,-0.49
-0.02,-0.08,-0.43
0.01,-0.06,-0.38
0.04,-0.05,-0.33
0.07,-0.04,-0.30
0.09,-0.03,-0.27
0.11,-0.03,-0.25
0.12,-0.03,-0.25
0.13,-0.04,-0.25
0.14,-0.05,-0.25
0.14,-0.06,-0.26
0.14,-0.08,-0.27
0.13,-0.09,-0.29
0.12,-0.10,-0.32
0.11,-0.12,-0.35
0.10,-0.13,-0.38
0.07,-0.15,-0.43
0.05,-0.16,-0.48
0.03,-0.18,-0.54
0.00,-0.20,-0.60
-0.02,-0.22,-0.66
-0.04,-0.24,-0.73
-0.05,-0.25,-0.79
-0.06,-0.27,-0.85
-0.07,-0.29,-0.90
-0.07,-0.30,-0.95
-0.08,-0.31,-1.00
-0.09,-0.32,-1.04
-0.09,-0.32,-1.09
-0.10,-0.33,-1.13
-0.11,-0.33,-1.17
-0.13,-0.33,-1.22
-0.15,-0.33,-1.26
-0.18,-0.32,-1.29
-0.20,-0.32,-1.32
-0.22,-0.31,-1.35
-0.25,-0.30,-1.38
-0.27,-0.29,-1.39
-0.29,-0.28,-1.41
-0.31,-0.27,-1.42
-0.33,-0.26,-1.43
-0.35,-0.26,-1.44
-0.37,-0.26,-1.44
-0.38,-0.26,-1.45
-0.38,-0.26,-1.45
-0.38,-0.27,-1.46
-0.38,-0.28,-1.45
-0.37,-0.29,-1.45
-0.35,-0.30,-1.44
-0.34,-0.31,-1.43
-0.32,-0.31,-1.41
-0.29,-0.32,-1.40
-0.27,-0.32,-1.38
-0.25,-0.32,-1.35
-0.24,-0.32,-1.33
-0.22,-0.32,-1.31
-0.20,-0.32,-1.29
-0.18,-0.31,-1.26
-0.16,-0.30,-1.23
-0.14,-0.30,-1.20
-0.11,-0.29,-1.16
-0.09,-0.28,-1.13
-0.06,-0.28,-1.10
-0.03,-0.27,-1.06
0.01,-0.27,-1.03
0.04,-0.26,-1.00
0.08,-0.26,-0.97
0.11,-0.26,-0.95
0.15,-0.25,-0.92
0.18,-0.25,-0.90
0.21,-0.24,-0.87
0.23,-0.22,-0.84
0.25,-0.21,-0.81
0.27,-0.19,-0.78
0.29,-0.18,-0.75
0.30,-0.16,-0.72
0.31,-0.15,-0.69
0.32,-0.13,-0.67
0.32,-0.12,-0.65
0.33,-0.11,-0.64
0.33,-0.10,-0.63
0.33,-0.09,-0.62
0.33,-0.09,-0.62
0.33,-0.08,-0.62
0.32,-0.08,-0.63
0.32,-0.08,-0.63
0.31,-0.08,-0.65
0.30,-0.08,-0.67
0.29,-0.08,-0.69
0.27,-0.09,-0.71
0.25,-0.09,-0.73
0.24,-0.09,-0.76
0.22,-0.10,-0.78
0.20,-0.10,-0.81
0.19,-0.11,-0.83
0.17,-0.11,-0.86
0.15,-0.11,-0.88
0.14,-0.11,-0.90
0.13,-0.11,-0.92
0.12,-0.11,-0.94
0.12,-0.11,-0.95
0.11,-0.10,-0.96
0.11,-0.10,-0.97
0.10,-0.10,-0.98
0.10,-0.09,-0.99
0.10,-0.09,-1.00
0.10,-0.09,-1.00
0.10,-0.09,-1.01
0.10,-0.09,-1.01
0.11,-0.08,-1.01
0.11,-0.08,-1.01
0.11,-0.08,-1.01
0.12,-0.08,-1.01
0.12,-0.08,-1.00
0.13,-0.08,-1.00
0.13,-0.08,-0.99
0.14,-0.08,-0.99
0.14,-0.08,-0.99
0.14,-0.08,-0.99
0.15,-0.08,-0.98
0.15,-0.09,-0.98
0.15,-0.09,-0.98
0.15,-0.09,-0.98
0.15,-0.10,-0.98
0.15,-0.10,-0.98
0.15,-0.10,-0.99
0.15,-0.10,-0.99
0.15,-0.11,-0.99
0.15,-0.11,-0.99
0.15,-0.11,-1.00
0.15,-0.12,-1.00
0.15,-0.12,-1.00
0.15,-0.12,-1.00
0.15,-0.12,-1.00
0.15,-0.12,-1.00
0.15,-0.12,-1.00
0.16,-0.12,-1.00
0.16,-0.12,-1.00
0.16,-0.12,-1.00
0.16,-0.12,-0.99
0.16,-0.12,-0.99
0.16,-0.13,-0.99
0.16,-0.13,-0.99
0.15,-0.13,-0.99
0.15,-0.13,-0.99
0.15,-0.13,-0.99
0.15,-0.13,-0.99
0.14,-0.13,-0.99
0.14,-0.13,-0.99
0.14,-0.13,-0.98
0.14,-0.12,-0.98
0.14,-0.12,-0.98
0.13,-0.12,-0.98
0.13,-0.11,-0.98
0.13,-0.11,-0.98
0.13,-0.11,-0.98
0.13,-0.11,-0.98
0.13,-0.11,-0.98
0.12,-0.11,-0.98
0.12,-0.11,-0.98
0.12,-0.11,-0.98
0.12,-0.12,-0.98
0.12,-0.12,-0.98
0.12,-0.12,-0.99
0.11,-0.13,-0.99
0.11,-0.13,-0.99
0.11,-0.13,-0.99
0.11,-0.13,-0.99
0.11,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.13,-0.99
0.10,-0.12,-0.99
0.10,-0.12,-0.99
0.10,-0.12,-0.99
0.10,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.13,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.98
0.12,-0.12,-0.98
0.12,-0.12,-0.98
0.12,-0.12,-0.98
0.12,-0.12,-0.98
0.12,-0.12,-0.98
0.11,-0.12,-0.98
0.11,-0.12,-0.98
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-0.99
0.11,-0.12,-1.00
0.11,-0.12,-1.00
0.11,-0.12,-1.00
0.11,-0.12,-1.00
0.11,-0.12,-0.99
0.11,-0.12,-0.99




