sample19
ax,ay,az
0.08,-0.01,-0.92
0.06,-0.01,-0.83
0.03,-0.01,-0.74
-0.00,-0.01,-0.65
-0.04,0.00,-0.55
-0.09,0.01,-0.45
-0.13,0.03,-0.34
-0.19,0.04,-0.24
-0.22,0.05,-0.21
-0.24,0.06,-0.20
-0.26,0.06,-0.19
-0.27,0.05,-0.19
-0.27,0.03,-0.20
-0.26,-0.00,-0.22
-0.25,-0.05,-0.25
-0.24,-0.11,-0.30
-0.23,-0.18,-0.36
-0.22,-0.27,-0.45
-0.21,-0.36,-0.55
-0.20,-0.47,-0.66
-0.19,-0.57,-0.79
-0.17,-0.68,-0.93
-0.16,-0.78,-1.08
-0.14,-0.87,-1.21
-0.13,-0.97,-1.34
-0.12,-1.04,-1.45
-0.11,-1.10,-1.56
-0.10,-1.15,-1.64
-0.10,-1.18,-1.71
-0.10,-1.20,-1.76
-0.10,-1.21,-1.79
-0.11,-1.19,-1.80
-0.12,-1.17,-1.79
-0.12,-1.14,-1.77
-0.13,-1.11,-1.73
-0.14,-1.08,-1.69
-0.14,-1.05,-1.64
-0.15,-1.04,-1.59
-0.15,-1.02,-1.54
-0.16,-1.02,-1.51
-0.16,-1.03,-1.48
-0.16,-1.04,-1.46
-0.16,-1.05,-1.44
-0.15,-1.07,-1.43
-0.15,-1.08,-1.42
-0.13,-1.09,-1.40
-0.11,-1.10,-1.39
-0.08,-1.10,-1.37
-0.06,-1.10,-1.34
-0.03,-1.09,-1.30
-0.01,-1.06,-1.24
0.01,-1.02,-1.17
0.02,-0.97,-1.10
0.03,-0.89,-1.00
0.03,-0.81,-0.90
0.02,-0.71,-0.80
0.01,-0.60,-0.70
0.01,-0.50,-0.60
0.00,-0.40,-0.52
0.00,-0.30,-0.45
0.01,-0.21,-0.39
0.01,-0.14,-0.35
0.01,-0.08,-0.31
0.02,-0.03,-0.29
0.02,0.02,-0.27
0.03,0.05,-0.26
0.04,0.08,-0.26
0.04,0.10,-0.25
0.04,0.12,-0.25
0.05,0.14,-0.26
0.05,0.15,-0.26
0.05,0.16,-0.26
0.05,0.17,-0.25
0.05,0.18,-0.25
0.05,0.19,-0.24
0.04,0.19,-0.24
0.04,0.19,-0.23
0.04,0.19,-0.22
0.03,0.19,-0.21
0.02,0.19,-0.20
0.01,0.18,-0.19
-0.01,0.17,-0.18
-0.03,0.16,-0.17
-0.04,0.14,-0.16
-0.06,0.12,-0.15
-0.07,0.09,-0.14
-0.08,0.05,-0.14
-0.08,0.01,-0.15
-0.08,-0.04,-0.16
-0.07,-0.10,-0.18
-0.06,-0.17,-0.22
-0.05,-0.25,-0.27
-0.03,-0.34,-0.32
-0.01,-0.43,-0.40
0.02,-0.53,-0.48
0.05,-0.64,-0.58
0.09,-0.75,-0.68
0.12,-0.86,-0.80
0.15,-0.97,-0.92
0.18,-1.06,-1.05
0.21,-1.15,-1.18
0.23,-1.21,-1.29
0.24,-1.26,-1.39
0.25,-1.28,-1.47
0.26,-1.28,-1.54
0.26,-1.27,-1.58
0.27,-1.24,-1.61
0.27,-1.21,-1.61
0.26,-1.16,-1.61
0.25,-1.11,-1.59
0.23,-1.05,-1.57
0.21,-1.00,-1.54
0.18,-0.95,-1.51
0.16,-0.90,-1.48
0.13,-0.86,-1.46
0.10,-0.83,-1.43
0.08,-0.81,-1.41
0.06,-0.80,-1.41
0.03,-0.80,-1.40
0.02,-0.81,-1.42
0.01,-0.83,-1.44
0.01,-0.86,-1.46
0.01,-0.88,-1.49
0.02,-0.91,-1.50
0.04,-0.94,-1.51
0.07,-0.95,-1.50
0.11,-0.96,-1.48
0.15,-0.96,-1.43
0.19,-0.94,-1.37
0.24,-0.91,-1.29
0.28,-0.88,-1.21
0.31,-0.83,-1.13
0.33,-0.78,-1.05
0.34,-0.72,-0.98
0.35,-0.66,-0.91
0.35,-0.60,-0.85
0.34,-0.53,-0.79
0.34,-0.46,-0.73
0.33,-0.40,-0.67
0.32,-0.34,-0.61
0.32,-0.28,-0.56
0.32,-0.22,-0.52
0.31,-0.17,-0.48
0.31,-0.12,-0.45
0.30,-0.07,-0.43
0.29,-0.03,-0.42
0.28,0.01,-0.41
0.27,0.03,-0.41
0.26,0.06,-0.42
0.25,0.07,-0.43
0.23,0.09,-0.44
0.22,0.10,-0.47
0.20,0.10,-0.49
0.18,0.11,-0.52
0.16,0.11,-0.55
0.14,0.11,-0.58
0.12,0.11,-0.61
0.10,0.10,-0.64
0.09,0.10,-0.67
0.08,0.09,-0.69
0.07,0.09,-0.71
0.06,0.09,-0.74
0.05,0.08,-0.76
0.05,0.08,-0.77
0.04,0.07,-0.79
0.03,0.07,-0.81
0.03,0.07,-0.83
0.02,0.06,-0.84
0.02,0.06,-0.86
0.01,0.06,-0.88
0.01,0.05,-0.89
0.01,0.05,-0.91
0.00,0.04,-0.92
0.00,0.04,-0.94
-0.00,0.04,-0.95
-0.00,0.03,-0.96
-0.00,0.03,-0.97
-0.00,0.03,-0.98
0.00,0.02,-0.99
0.00,0.02,-1.00
0.00,0.02,-1.00
0.01,0.02,-1.01
0.01,0.02,-1.02
0.01,0.02,-1.02
0.01,0.02,-1.02
0.01,0.02,-1.03
0.01,0.02,-1.03
0.01,0.02,-1.03
0.01,0.02,-1.03
0.02,0.02,-1.04
0.02,0.02,-1.04
0.02,0.02,-1.04
0.03,0.02,-1.03
0.03,0.02,-1.03
0.03,0.02,-1.03
0.04,0.02,-1.03
0.04,0.02,-1.02
0.04,0.02,-1.02
0.04,0.02,-1.01
0.05,0.02,-1.01
0.05,0.02,-1.01
0.04,0.02,-1.00
0.04,0.02,-1.00
0.04,0.02,-1.00
0.04,0.02,-1.00
0.03,0.02,-0.99
0.03,0.02,-0.99
0.03,0.01,-1.00
0.03,0.01,-1.00
0.04,0.01,-1.00
0.04,0.00,-1.00
0.04,0.00,-1.00
0.04,-0.00,-1.00
0.04,-0.00,-1.00
0.04,-0.00,-1.00
0.04,-0.00,-1.00
0.04,-0.01,-1.00
0.04,-0.01,-1.00
0.03,-0.01,-1.00
0.03,-0.01,-1.00
0.03,-0.01,-1.01
0.03,-0.02,-1.01
0.03,-0.02,-1.01
0.02,-0.02,-1.01
0.02,-0.02,-1.02
0.02,-0.02,-1.02
0.02,-0.02,-1.02
0.02,-0.02,-1.02
0.01,-0.02,-1.02
0.01,-0.02,-1.02
0.01,-0.02,-1.02
0.01,-0.02,-1.02
0.01,-0.01,-1.01
0.01,-0.01,-1.01
0.01,-0.01,-1.01
0.01,-0.01,-1.01
0.01,-0.01,-1.01
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.03,-0.01,-1.00
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-0.99
0.03,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-0.99
0.02,-0.01,-0.99
0.02,-0.01,-0.99
0.02,-0.01,-0.99
0.02,-0.01,-0.99
0.02,-0.01,-0.99
0.02,-0.01,-0.99
0.02,-0.01,-1.00
