sample16
ax,ay,az
0.27,-0.12,-0.94
0.24,-0.12,-0.93
0.21,-0.13,-0.92
0.17,-0.13,-0.91
0.14,-0.14,-0.90
0.10,-0.14,-0.89
0.06,-0.15,-0.88
0.02,-0.16,-0.86
0.01,-0.16,-0.84
-0.00,-0.16,-0.81
-0.01,-0.16,-0.78
-0.03,-0.16,-0.75
-0.04,-0.17,-0.71
-0.06,-0.17,-0.67
-0.08,-0.17,-0.62
-0.09,-0.17,-0.58
-0.11,-0.17,-0.55
-0.12,-0.18,-0.52
-0.14,-0.18,-0.50
-0.15,-0.19,-0.50
-0.16,-0.19,-0.50
-0.17,-0.20,-0.52
-0.17,-0.22,-0.56
-0.18,-0.23,-0.62
-0.18,-0.24,-0.68
-0.16,-0.27,-0.74
-0.15,-0.29,-0.81
-0.12,-0.33,-0.88
-0.09,-0.37,-0.94
-0.06,-0.39,-0.96
-0.02,-0.42,-0.97
0.03,-0.45,-0.99
0.07,-0.49,-1.02
0.11,-0.50,-1.04
0.15,-0.52,-1.04
0.19,-0.53,-1.03
0.22,-0.53,-1.04
0.24,-0.54,-1.07
0.26,-0.56,-1.09
0.26,-0.56,-1.11
0.25,-0.57,-1.12
0.23,-0.58,-1.16
0.21,-0.60,-1.20
0.19,-0.62,-1.25
0.18,-0.64,-1.30
0.16,-0.67,-1.34
0.15,-0.70,-1.39
0.14,-0.72,-1.42
0.15,-0.75,-1.44
0.15,-0.77,-1.45
0.15,-0.79,-1.46
0.16,-0.81,-1.46
0.16,-0.82,-1.46
0.17,-0.84,-1.46
0.18,-0.85,-1.46
0.18,-0.86,-1.45
0.18,-0.87,-1.43
0.18,-0.88,-1.41
0.18,-0.89,-1.39
0.18,-0.88,-1.37
0.18,-0.88,-1.35
0.17,-0.86,-1.32
0.17,-0.85,-1.29
0.17,-0.83,-1.25
0.16,-0.80,-1.22
0.16,-0.77,-1.18
0.17,-0.74,-1.13
0.17,-0.70,-1.08
0.17,-0.66,-1.02
0.16,-0.61,-0.96
0.16,-0.56,-0.90
0.16,-0.51,-0.85
0.15,-0.46,-0.80
0.15,-0.41,-0.76
0.15,-0.36,-0.71
0.15,-0.30,-0.66
0.15,-0.25,-0.62
0.16,-0.21,-0.58
0.17,-0.16,-0.55
