epoch,accuracy,loss,val_accuracy,val_loss
0,0.33492064476013184,5.525256156921387,0.19374999403953552,5.278502464294434
1,0.3968254029750824,5.3037190437316895,0.21875,5.290740013122559
2,0.43015873432159424,5.15114688873291,0.22499999403953552,5.313694953918457
3,0.4396825432777405,5.0964460372924805,0.23749999701976776,5.337675094604492
4,0.4888888895511627,5.027735710144043,0.21875,5.410102367401123
5,0.44285714626312256,5.102712631225586,0.21250000596046448,5.452446937561035
6,0.5158730149269104,4.974636554718018,0.21875,5.4768266677856445
7,0.5047619342803955,4.983652591705322,0.25,5.437322616577148
8,0.5063492059707642,4.990806579589844,0.29374998807907104,5.378988742828369
9,0.4873015880584717,5.005282402038574,0.33125001192092896,5.326552867889404
10,0.5253968238830566,4.941929817199707,0.3375000059604645,5.263652801513672
11,0.4920634925365448,4.991602897644043,0.375,5.232770919799805
12,0.5126984119415283,4.9553704261779785,0.39375001192092896,5.173625469207764
13,0.5,4.968891620635986,0.4000000059604645,5.14353084564209
14,0.523809552192688,4.939798355102539,0.39375001192092896,5.120607852935791
15,0.5269841551780701,4.92711067199707,0.40625,5.117727279663086
16,0.541269838809967,4.8992109298706055,0.41874998807907104,5.136374473571777
17,0.5444444417953491,4.890193462371826,0.4437499940395355,5.125781059265137
18,0.5301587581634521,4.920461177825928,0.4437499940395355,5.139872074127197
19,0.5460317730903625,4.897557258605957,0.42500001192092896,5.10928201675415
20,0.5063492059707642,4.928670406341553,0.4124999940395355,5.084309101104736
21,0.5063492059707642,4.9325690269470215,0.42500001192092896,5.1100263595581055
22,0.523809552192688,4.898167133331299,0.4312500059604645,5.075985431671143
23,0.5253968238830566,4.869500637054443,0.4437499940395355,5.079092025756836
24,0.5285714268684387,4.885349273681641,0.4375,5.0686235427856445
25,0.5206349492073059,4.8706231117248535,0.42500001192092896,5.071579456329346
26,0.5698412656784058,4.8709845542907715,0.4312500059604645,5.084521293640137
27,0.523809552192688,4.879542350769043,0.4625000059604645,5.051448822021484
28,0.541269838809967,4.823557376861572,0.4625000059604645,5.034880638122559
29,0.5365079641342163,4.870051383972168,0.4625000059604645,5.059670448303223
30,0.5396825671195984,4.84633731842041,0.44999998807907104,5.0863800048828125
31,0.541269838809967,4.853911399841309,0.4625000059604645,5.040041923522949
32,0.5285714268684387,4.873312473297119,0.4749999940395355,5.041718482971191
33,0.5492063760757446,4.838022232055664,0.46875,5.037924289703369
34,0.5476190447807312,4.826859951019287,0.48124998807907104,5.0117082595825195
35,0.5428571701049805,4.846246242523193,0.4625000059604645,5.041951656341553
36,0.5809524059295654,4.755138874053955,0.45625001192092896,5.031167030334473
37,0.561904788017273,4.822078704833984,0.46875,5.02835750579834
38,0.5841270089149475,4.797540187835693,0.4749999940395355,5.033264636993408
39,0.5476190447807312,4.8108439445495605,0.4625000059604645,5.059527397155762
40,0.5698412656784058,4.792725563049316,0.45625001192092896,5.095744609832764
41,0.5777778029441833,4.80532169342041,0.45625001192092896,5.050620079040527
42,0.5857142806053162,4.7935261726379395,0.4749999940395355,5.055020809173584
43,0.5682539939880371,4.780025482177734,0.46875,5.023824691772461
44,0.5555555820465088,4.798405170440674,0.46875,5.027972221374512
45,0.5730158686637878,4.771657466888428,0.4749999940395355,5.008594989776611
46,0.5761904716491699,4.791330814361572,0.46875,4.998831272125244
47,0.5476190447807312,4.828669548034668,0.48750001192092896,4.987816333770752
48,0.5666666626930237,4.775843143463135,0.4625000059604645,4.999749183654785
49,0.561904788017273,4.756321430206299,0.46875,5.010591506958008
50,0.5825396776199341,4.767251491546631,0.4625000059604645,4.9878034591674805
51,0.5777778029441833,4.760753631591797,0.4625000059604645,4.985832691192627
52,0.5873016119003296,4.741154193878174,0.4749999940395355,4.979456424713135
53,0.561904788017273,4.774961471557617,0.48124998807907104,5.004635810852051
54,0.5746031999588013,4.7428483963012695,0.48124998807907104,4.981804847717285
55,0.5285714268684387,4.78837776184082,0.4749999940395355,4.968534469604492
56,0.5809524059295654,4.737919330596924,0.48124998807907104,4.985057830810547
57,0.5746031999588013,4.784890651702881,0.48750001192092896,4.976542949676514
58,0.5968254208564758,4.709056854248047,0.4749999940395355,4.98207950592041
59,0.5698412656784058,4.743255138397217,0.46875,4.9889421463012695
60,0.5873016119003296,4.731503486633301,0.4749999940395355,4.993593215942383
61,0.5761904716491699,4.72080135345459,0.4749999940395355,5.020671367645264
62,0.6015872955322266,4.7180304527282715,0.4937500059604645,4.957648277282715
63,0.5968254208564758,4.711271286010742,0.48750001192092896,4.934290409088135
64,0.5746031999588013,4.716370582580566,0.512499988079071,4.927706241607666
65,0.5873016119003296,4.697783946990967,0.5062500238418579,4.949399471282959
66,0.5952380895614624,4.7111101150512695,0.48750001192092896,4.969679832458496
67,0.60317462682724,4.695952892303467,0.5,4.974844932556152
68,0.5698412656784058,4.710280895233154,0.4937500059604645,4.987740516662598
69,0.6047618985176086,4.687037944793701,0.512499988079071,4.949355602264404
70,0.5777778029441833,4.681532859802246,0.512499988079071,4.9359612464904785
71,0.5571428537368774,4.737487316131592,0.5062500238418579,4.906681060791016
72,0.561904788017273,4.710341930389404,0.5062500238418579,4.917844295501709
73,0.6000000238418579,4.691544055938721,0.4937500059604645,4.937880516052246
74,0.620634913444519,4.6728291511535645,0.5,4.944027900695801
75,0.6079365015029907,4.65298318862915,0.5,4.93667459487915
76,0.6047618985176086,4.6757917404174805,0.5,4.949102401733398
77,0.5984126925468445,4.67262077331543,0.5062500238418579,4.914471626281738
78,0.6142857074737549,4.645029067993164,0.512499988079071,4.908403396606445
79,0.5936508178710938,4.6488542556762695,0.518750011920929,4.901414394378662
80,0.6079365015029907,4.676086902618408,0.512499988079071,4.893829822540283
81,0.5984126925468445,4.677725315093994,0.543749988079071,4.868000507354736
82,0.5555555820465088,4.721979141235352,0.518750011920929,4.877795219421387
83,0.5952380895614624,4.6610236167907715,0.5062500238418579,4.924004554748535
84,0.617460310459137,4.628350734710693,0.4937500059604645,4.925594806671143
85,0.5746031999588013,4.651484489440918,0.5062500238418579,4.905597686767578
86,0.6428571343421936,4.606439113616943,0.48750001192092896,4.934741020202637
87,0.6015872955322266,4.61924409866333,0.53125,4.898510932922363
88,0.6047618985176086,4.62746000289917,0.512499988079071,4.9091105461120605
89,0.6063492298126221,4.673790454864502,0.5249999761581421,4.899883270263672
90,0.5746031999588013,4.676159858703613,0.5249999761581421,4.922679424285889
91,0.5920634865760803,4.631561279296875,0.5249999761581421,4.899710178375244
92,0.6000000238418579,4.642293453216553,0.543749988079071,4.880485534667969
93,0.5873016119003296,4.61534309387207,0.543749988079071,4.892533302307129
94,0.6095238327980042,4.605458736419678,0.53125,4.884147644042969
