sample36
ax,ay,az
0.06,-1.23,-0.37
0.11,-1.00,-0.43
0.14,-0.77,-0.48
0.18,-0.55,-0.53
0.20,-0.36,-0.57
0.21,-0.19,-0.60
0.22,-0.08,-0.62
0.22,0.00,-0.64
0.23,-0.07,-0.60
0.23,-0.18,-0.57
0.22,-0.36,-0.54
0.21,-0.57,-0.52
0.20,-0.82,-0.50
0.18,-1.06,-0.50
0.16,-1.27,-0.50
0.14,-1.44,-0.51
0.12,-1.52,-0.52
0.10,-1.55,-0.52
0.10,-1.49,-0.52
0.09,-1.39,-0.51
0.10,-1.24,-0.50
0.10,-1.08,-0.50
0.11,-0.92,-0.49
0.11,-0.78,-0.49
0.11,-0.68,-0.49
0.11,-0.60,-0.49
0.11,-0.57,-0.50
0.11,-0.57,-0.51
0.10,-0.61,-0.51
0.10,-0.68,-0.52
0.11,-0.78,-0.53
0.12,-0.89,-0.53
0.13,-1.01,-0.54
0.13,-1.13,-0.55
0.14,-1.23,-0.55
0.15,-1.30,-0.56
0.15,-1.33,-0.56
0.15,-1.34,-0.56
0.15,-1.30,-0.55
0.15,-1.24,-0.55
0.15,-1.14,-0.55
0.15,-1.03,-0.55
0.14,-0.90,-0.55
0.13,-0.77,-0.55
0.13,-0.64,-0.56
0.12,-0.52,-0.57
0.12,-0.40,-0.59
0.11,-0.29,-0.61
0.11,-0.18,-0.63
0.11,-0.08,-0.65
0.12,0.00,-0.67
0.12,0.08,-0.68
0.13,0.14,-0.67
0.15,0.17,-0.64
0.16,0.15,-0.61
0.18,0.09,-0.58
0.20,-0.06,-0.54
0.21,-0.24,-0.52
0.22,-0.49,-0.50
0.23,-0.76,-0.48
0.23,-1.02,-0.49
0.22,-1.26,-0.50
0.21,-1.43,-0.52
0.21,-1.55,-0.53
0.20,-1.56,-0.53
0.20,-1.52,-0.52
0.20,-1.40,-0.51
0.20,-1.25,-0.50
0.20,-1.10,-0.48
0.20,-0.95,-0.46
0.21,-0.85,-0.46
0.21,-0.77,-0.45
0.20,-0.76,-0.46
0.20,-0.78,-0.47
0.19,-0.85,-0.48
0.19,-0.93,-0.49
0.19,-1.03,-0.51
0.19,-1.13,-0.52
0.19,-1.22,-0.53
0.19,-1.29,-0.54
0.19,-1.32,-0.55
0.20,-1.31,-0.55
0.20,-1.24,-0.55
0.21,-1.15,-0.55
0.21,-1.01,-0.55
0.22,-0.85,-0.56
0.21,-0.67,-0.56
0.21,-0.48,-0.56
0.20,-0.30,-0.57
0.18,-0.14,-0.58
0.16,0.00,-0.59
0.15,0.12,-0.60
0.14,0.19,-0.59
0.14,0.22,-0.58
0.15,0.18,-0.57
0.16,0.09,-0.55
0.18,-0.08,-0.55
0.19,-0.29,-0.54
0.19,-0.56,-0.54
0.18,-0.83,-0.55
0.15,-1.09,-0.56
0.11,-1.32,-0.57
0.08,-1.45,-0.58
0.04,-1.54,-0.58
0.01,-1.52,-0.57
-0.01,-1.45,-0.56
-0.01,-1.31,-0.55
-0.01,-1.15,-0.53
-0.00,-0.97,-0.52
0.01,-0.80,-0.51
0.00,-0.68,-0.50
-0.00,-0.58,-0.49
-0.02,-0.55,-0.49
-0.03,-0.53,-0.49
-0.04,-0.56,-0.49
-0.05,-0.61,-0.49
-0.05,-0.69,-0.50
-0.04,-0.78,-0.50
-0.03,-0.87,-0.51
-0.01,-0.96,-0.52
0.01,-1.04,-0.52
0.04,-1.10,-0.53
0.06,-1.16,-0.54
0.08,-1.20,-0.54
0.09,-1.21,-0.55
0.10,-1.22,-0.56
0.11,-1.20,-0.56
0.12,-1.18,-0.56
0.12,-1.13,-0.57
0.12,-1.07,-0.58
0.12,-0.99,-0.58
0.12,-0.89,-0.59
0.13,-0.79,-0.59
0.13,-0.68,-0.60
0.13,-0.58,-0.61
0.12,-0.47,-0.62
0.12,-0.38,-0.63
0.12,-0.29,-0.64
0.11,-0.22,-0.64
0.11,-0.16,-0.65
0.10,-0.13,-0.65
0.09,-0.11,-0.65
0.08,-0.13,-0.64
0.08,-0.18,-0.63
0.09,-0.28,-0.61
0.09,-0.41,-0.59
0.09,-0.58,-0.58
0.09,-0.77,-0.57
0.09,-0.95,-0.57
0.09,-1.12,-0.57
0.09,-1.23,-0.57
0.09,-1.31,-0.57
0.09,-1.30,-0.57
0.09,-1.26,-0.57
0.10,-1.16,-0.57
0.12,-1.03,-0.57
0.13,-0.89,-0.56
0.14,-0.76,-0.55
0.15,-0.66,-0.55
0.15,-0.58,-0.55
0.14,-0.57,-0.54
0.12,-0.58,-0.54
0.11,-0.64,-0.54
0.09,-0.72,-0.53
0.08,-0.83,-0.53
0.08,-0.94,-0.53
0.08,-1.06,-0.53
0.09,-1.16,-0.53
0.10,-1.23,-0.54
0.11,-1.29,-0.54
0.12,-1.30,-0.54
0.13,-1.29,-0.55
0.14,-1.24,-0.55
0.15,-1.17,-0.56
0.15,-1.06,-0.56
0.14,-0.93,-0.57
0.14,-0.80,-0.58
0.13,-0.67,-0.59
0.12,-0.53,-0.60
0.12,-0.39,-0.61
0.12,-0.27,-0.62
0.11,-0.17,-0.63
0.12,-0.10,-0.63
0.12,-0.05,-0.62
0.12,-0.06,-0.61
0.12,-0.09,-0.60
0.10,-0.19,-0.59
0.08,-0.32,-0.57
0.04,-0.49,-0.55
0.00,-0.68,-0.53
-0.03,-0.88,-0.52
-0.07,-1.07,-0.51
-0.10,-1.20,-0.51
-0.11,-1.31,-0.50
-0.11,-1.35,-0.49
-0.10,-1.34,-0.48
-0.08,-1.28,-0.47
-0.06,-1.19,-0.46
-0.04,-1.09,-0.45
-0.01,-0.98,-0.44
0.02,-0.89,-0.44
0.05,-0.83,-0.44
0.10,-0.80,-0.45
0.14,-0.80,-0.46
0.19,-0.83,-0.48
0.24,-0.88,-0.50
0.28,-0.94,-0.52
0.32,-1.01,-0.54
0.34,-1.05,-0.56
0.36,-1.09,-0.58
0.36,-1.10,-0.58
0.36,-1.10,-0.59
0.34,-1.07,-0.59
0.32,-1.03,-0.60
0.30,-0.97,-0.60
0.27,-0.90,-0.60
0.24,-0.81,-0.61
0.21,-0.72,-0.61
0.18,-0.62,-0.62
0.15,-0.51,-0.62
0.13,-0.40,-0.63
0.10,-0.28,-0.63
0.09,-0.17,-0.63
0.07,-0.07,-0.62
0.06,-0.01,-0.60
0.06,0.03,-0.57
0.06,-0.01,-0.55
0.07,-0.08,-0.52
0.08,-0.24,-0.50
0.09,-0.43,-0.48
0.11,-0.67,-0.47
0.12,-0.92,-0.47
0.14,-1.15,-0.48
0.15,-1.34,-0.50
0.16,-1.45,-0.51
0.17,-1.50,-0.51
0.18,-1.47,-0.51
0.18,-1.39,-0.51
0.18,-1.26,-0.50
0.18,-1.11,-0.49
0.17,-0.97,-0.48
0.16,-0.85,-0.47
0.14,-0.77,-0.47
0.13,-0.72,-0.46
0.11,-0.72,-0.47
0.09,-0.75,-0.47
0.08,-0.82,-0.47
0.08,-0.91,-0.48
0.08,-1.02,-0.48
0.08,-1.14,-0.48
0.09,-1.24,-0.49
0.10,-1.33,-0.50
0.11,-1.38,-0.50
0.12,-1.39,-0.51
0.13,-1.34,-0.51
0.14,-1.26,-0.51
0.15,-1.11,-0.52
0.16,-0.94,-0.53
0.17,-0.73,-0.53
0.17,-0.52,-0.54
0.17,-0.32,-0.56
0.16,-0.13,-0.57
0.14,0.01,-0.58
0.13,0.12,-0.58
0.11,0.16,-0.58
0.10,0.17,-0.57
0.09,0.10,-0.57
0.08,0.01,-0.55
0.09,-0.15,-0.54
0.10,-0.33,-0.52
0.10,-0.56,-0.52
0.11,-0.79,-0.51
0.12,-1.01,-0.51
0.14,-1.20,-0.52
0.15,-1.34,-0.52
0.16,-1.44,-0.52
0.16,-1.46,-0.51
0.17,-1.44,-0.51
