sample32
ax,ay,az
-0.14,-0.50,-0.82
-0.10,-0.53,-0.81
-0.06,-0.57,-0.79
-0.02,-0.61,-0.76
0.04,-0.65,-0.73
0.09,-0.68,-0.70
0.16,-0.70,-0.69
0.23,-0.72,-0.66
0.28,-0.70,-0.66
0.33,-0.67,-0.65
0.39,-0.61,-0.66
0.44,-0.55,-0.66
0.50,-0.48,-0.66
0.55,-0.42,-0.65
0.61,-0.38,-0.66
0.67,-0.34,-0.66
0.74,-0.32,-0.67
0.80,-0.30,-0.68
0.86,-0.29,-0.70
0.90,-0.28,-0.71
0.94,-0.28,-0.72
0.97,-0.28,-0.73
0.98,-0.28,-0.75
0.97,-0.29,-0.75
0.95,-0.29,-0.76
0.91,-0.30,-0.76
0.85,-0.33,-0.77
0.78,-0.35,-0.77
0.70,-0.38,-0.77
0.61,-0.41,-0.76
0.51,-0.43,-0.76
0.42,-0.45,-0.76
0.34,-0.46,-0.76
0.26,-0.48,-0.77
0.19,-0.49,-0.77
0.12,-0.50,-0.76
0.05,-0.50,-0.75
-0.01,-0.50,-0.74
-0.07,-0.50,-0.73
-0.13,-0.51,-0.71
-0.19,-0.52,-0.68
-0.25,-0.52,-0.66
-0.31,-0.52,-0.64
-0.37,-0.52,-0.63
-0.41,-0.52,-0.62
-0.45,-0.52,-0.61
-0.47,-0.52,-0.60
-0.50,-0.52,-0.58
-0.50,-0.53,-0.58
-0.51,-0.53,-0.58
-0.51,-0.53,-0.57
-0.51,-0.54,-0.56
-0.52,-0.55,-0.55
-0.53,-0.56,-0.55
-0.54,-0.56,-0.55
-0.55,-0.57,-0.55
-0.54,-0.59,-0.54
-0.52,-0.61,-0.54
-0.49,-0.63,-0.55
-0.45,-0.66,-0.56
-0.40,-0.68,-0.57
-0.34,-0.69,-0.58
-0.27,-0.71,-0.59
-0.20,-0.72,-0.60
-0.14,-0.72,-0.61
-0.08,-0.71,-0.63
-0.02,-0.69,-0.65
0.03,-0.67,-0.67
0.09,-0.66,-0.68
0.15,-0.64,-0.70
0.21,-0.63,-0.72
0.27,-0.61,-0.74
0.32,-0.59,-0.77
0.37,-0.57,-0.79
0.41,-0.55,-0.81
0.44,-0.54,-0.82
0.48,-0.54,-0.85
0.51,-0.54,-0.88
0.53,-0.54,-0.91
0.56,-0.55,-0.93
0.57,-0.57,-0.95
0.57,-0.60,-0.96
0.56,-0.62,-0.96
0.54,-0.63,-0.96
0.50,-0.64,-0.93
0.45,-0.65,-0.89
0.38,-0.66,-0.83
0.30,-0.67,-0.76
0.22,-0.68,-0.70
0.14,-0.68,-0.64
0.06,-0.67,-0.58
-0.02,-0.67,-0.52
-0.09,-0.67,-0.47
-0.16,-0.67,-0.43
-0.22,-0.67,-0.40
-0.28,-0.67,-0.37
-0.33,-0.67,-0.35
-0.39,-0.69,-0.33
-0.42,-0.70,-0.31
-0.45,-0.72,-0.30
-0.47,-0.73,-0.29
-0.48,-0.74,-0.29
-0.48,-0.74,-0.30
-0.47,-0.74,-0.30
-0.46,-0.74,-0.31
-0.44,-0.74,-0.32
-0.42,-0.75,-0.33
-0.41,-0.76,-0.34
-0.39,-0.79,-0.35
-0.37,-0.82,-0.37
-0.34,-0.86,-0.38
-0.31,-0.89,-0.39
-0.27,-0.92,-0.41
-0.23,-0.94,-0.43
-0.18,-0.95,-0.45
-0.13,-0.94,-0.47
-0.09,-0.92,-0.48
-0.05,-0.90,-0.49
-0.01,-0.88,-0.50
0.02,-0.85,-0.50
0.04,-0.84,-0.51
0.07,-0.83,-0.52
0.10,-0.83,-0.53
0.13,-0.83,-0.53
0.16,-0.83,-0.53
0.19,-0.83,-0.52
0.22,-0.82,-0.52
0.25,-0.82,-0.52
0.29,-0.81,-0.51
0.32,-0.80,-0.50
0.35,-0.79,-0.49
0.37,-0.78,-0.48
0.39,-0.79,-0.47
0.41,-0.80,-0.47
0.43,-0.81,-0.47
0.44,-0.82,-0.47
0.46,-0.82,-0.48
0.48,-0.83,-0.49
0.50,-0.84,-0.51
0.51,-0.84,-0.53
0.54,-0.84,-0.55
0.56,-0.83,-0.57
0.58,-0.82,-0.59
0.58,-0.82,-0.61
0.57,-0.81,-0.62
0.55,-0.81,-0.62
0.52,-0.80,-0.61
0.49,-0.80,-0.59
0.45,-0.79,-0.56
0.40,-0.79,-0.54
0.34,-0.79,-0.50
0.28,-0.79,-0.47
0.23,-0.79,-0.44
0.17,-0.79,-0.42
0.11,-0.79,-0.40
0.05,-0.79,-0.39
-0.01,-0.79,-0.38
-0.07,-0.80,-0.37
-0.12,-0.81,-0.35
-0.17,-0.82,-0.34
-0.21,-0.84,-0.34
-0.24,-0.86,-0.33
-0.27,-0.88,-0.33
-0.30,-0.90,-0.33
-0.32,-0.91,-0.33
-0.34,-0.92,-0.33
-0.36,-0.91,-0.33
-0.37,-0.90,-0.33
-0.39,-0.88,-0.34
-0.40,-0.86,-0.33
-0.42,-0.84,-0.33
-0.44,-0.82,-0.33
-0.46,-0.81,-0.32
-0.48,-0.80,-0.31
-0.51,-0.79,-0.30
-0.53,-0.78,-0.30
-0.56,-0.77,-0.29
-0.57,-0.76,-0.28
-0.58,-0.74,-0.28
-0.58,-0.72,-0.29
-0.58,-0.71,-0.30
-0.57,-0.70,-0.31
-0.56,-0.69,-0.33
-0.54,-0.68,-0.35
-0.53,-0.68,-0.39
-0.51,-0.68,-0.42
-0.50,-0.67,-0.45
-0.49,-0.67,-0.48
-0.48,-0.67,-0.50
-0.47,-0.66,-0.52
-0.45,-0.65,-0.54
-0.43,-0.65,-0.56
-0.40,-0.64,-0.57
-0.38,-0.64,-0.59
-0.34,-0.65,-0.61
-0.31,-0.65,-0.64
-0.27,-0.66,-0.67
-0.23,-0.66,-0.70
-0.20,-0.67,-0.72
-0.16,-0.68,-0.75
-0.13,-0.69,-0.77
-0.09,-0.69,-0.78
-0.06,-0.69,-0.79
-0.03,-0.69,-0.80
-0.01,-0.69,-0.80
0.02,-0.68,-0.81
