sample34
ax,ay,az
-0.25,-0.12,-0.80
-0.25,-0.13,-0.83
-0.25,-0.13,-0.87
-0.25,-0.12,-0.90
-0.24,-0.12,-0.94
-0.22,-0.11,-0.97
-0.21,-0.12,-1.01
-0.20,-0.12,-1.04
-0.20,-0.13,-1.03
-0.20,-0.13,-1.01
-0.21,-0.14,-0.99
-0.22,-0.15,-0.96
-0.22,-0.16,-0.92
-0.22,-0.17,-0.89
-0.22,-0.17,-0.85
-0.22,-0.16,-0.82
-0.22,-0.15,-0.81
-0.21,-0.13,-0.81
-0.20,-0.11,-0.84
-0.19,-0.09,-0.88
-0.18,-0.07,-0.94
-0.17,-0.04,-0.99
-0.16,-0.02,-1.02
-0.15,-0.01,-1.05
-0.14,0.00,-1.04
-0.14,0.02,-1.02
-0.14,0.03,-0.97
-0.14,0.05,-0.91
-0.14,0.06,-0.86
-0.14,0.08,-0.81
-0.15,0.10,-0.80
-0.15,0.14,-0.81
-0.15,0.18,-0.86
-0.15,0.22,-0.92
-0.14,0.26,-0.99
-0.14,0.31,-1.05
-0.12,0.36,-1.11
-0.11,0.40,-1.15
-0.09,0.44,-1.17
-0.07,0.47,-1.17
-0.07,0.48,-1.15
-0.06,0.49,-1.11
-0.06,0.48,-1.07
-0.07,0.47,-1.04
-0.08,0.46,-1.02
-0.09,0.44,-1.00
-0.10,0.41,-0.99
-0.10,0.39,-0.99
-0.10,0.36,-0.98
-0.11,0.33,-0.97
-0.11,0.30,-0.96
-0.10,0.27,-0.95
-0.10,0.24,-0.94
-0.10,0.21,-0.92
-0.10,0.18,-0.91
-0.10,0.15,-0.89
-0.10,0.11,-0.89
-0.11,0.08,-0.89
-0.11,0.05,-0.89
-0.12,0.03,-0.89
-0.12,0.01,-0.88
-0.13,-0.01,-0.87
-0.13,-0.02,-0.86
-0.13,-0.03,-0.86
-0.13,-0.03,-0.85
-0.12,-0.03,-0.84
-0.12,-0.03,-0.85
-0.11,-0.03,-0.85
-0.10,-0.03,-0.86
-0.09,-0.02,-0.86
-0.08,-0.02,-0.87
-0.06,-0.01,-0.87
-0.05,0.01,-0.88
-0.04,0.02,-0.89
-0.02,0.04,-0.90
-0.01,0.07,-0.92
0.01,0.09,-0.94
0.02,0.12,-0.97
0.03,0.15,-1.01
0.04,0.18,-1.05
0.05,0.20,-1.08
0.06,0.23,-1.09
0.06,0.25,-1.10
0.06,0.27,-1.09
0.07,0.28,-1.08
0.07,0.29,-1.07
0.06,0.30,-1.05
0.05,0.32,-1.03
0.05,0.33,-1.02
0.04,0.34,-1.02
0.04,0.35,-1.03
0.03,0.35,-1.03
0.02,0.35,-1.03
0.02,0.35,-1.03
0.02,0.34,-1.02
0.01,0.33,-1.01
0.01,0.31,-0.99
0.00,0.29,-0.97
0.00,0.27,-0.96
-0.00,0.26,-0.94
-0.01,0.24,-0.94
-0.01,0.22,-0.93
-0.02,0.19,-0.94
-0.02,0.17,-0.94
-0.02,0.15,-0.96
-0.02,0.13,-0.97
-0.02,0.11,-1.00
-0.02,0.10,-1.01
-0.02,0.08,-1.03
-0.02,0.07,-1.04
-0.02,0.06,-1.04
-0.02,0.04,-1.04
-0.02,0.03,-1.03
-0.03,0.01,-1.02
-0.03,-0.00,-1.00
-0.04,-0.02,-0.98
-0.05,-0.04,-0.97
-0.05,-0.06,-0.96
-0.06,-0.08,-0.95
-0.07,-0.09,-0.94
-0.07,-0.11,-0.94
-0.08,-0.12,-0.93
-0.09,-0.13,-0.93
-0.09,-0.13,-0.91
-0.10,-0.13,-0.90
-0.10,-0.14,-0.88
-0.10,-0.14,-0.86
-0.10,-0.13,-0.85
-0.10,-0.13,-0.84
-0.10,-0.12,-0.83
-0.10,-0.11,-0.83
-0.10,-0.10,-0.84
-0.08,-0.09,-0.87
-0.07,-0.07,-0.91
-0.05,-0.06,-0.97
-0.03,-0.04,-1.02
-0.02,-0.03,-1.08
-0.00,-0.02,-1.13
0.02,-0.01,-1.17
0.03,-0.01,-1.20
0.04,-0.01,-1.21
0.05,-0.01,-1.20
0.04,-0.01,-1.18
0.04,-0.02,-1.15
0.03,-0.02,-1.12
0.02,-0.03,-1.08
0.01,-0.04,-1.04
-0.00,-0.05,-1.00
-0.02,-0.06,-0.98
-0.03,-0.07,-0.96
-0.04,-0.08,-0.94
-0.04,-0.09,-0.92
-0.05,-0.09,-0.91
-0.05,-0.09,-0.91
-0.05,-0.09,-0.90
-0.05,-0.09,-0.90
-0.05,-0.09,-0.89
-0.05,-0.09,-0.89
-0.04,-0.09,-0.89
-0.04,-0.09,-0.90
-0.04,-0.09,-0.90
-0.03,-0.09,-0.91
-0.02,-0.09,-0.93
-0.02,-0.08,-0.95
-0.01,-0.08,-0.97
0.01,-0.07,-0.99
0.03,-0.06,-1.01
0.05,-0.06,-1.03
0.06,-0.05,-1.05
0.07,-0.05,-1.07
0.08,-0.04,-1.08
0.08,-0.04,-1.09
0.08,-0.03,-1.09
0.07,-0.03,-1.07
0.06,-0.04,-1.03
0.04,-0.04,-0.99
0.03,-0.05,-0.93
0.01,-0.05,-0.86
0.00,-0.06,-0.79
-0.00,-0.06,-0.73
-0.01,-0.05,-0.71
-0.01,-0.03,-0.70
0.01,-0.01,-0.72
0.02,0.01,-0.74
0.05,0.04,-0.78
0.07,0.07,-0.83
0.09,0.09,-0.89
0.11,0.11,-0.96
0.13,0.12,-0.99
0.15,0.12,-1.01
0.15,0.12,-1.03
0.15,0.12,-1.04
0.15,0.12,-1.04
0.15,0.12,-1.03
0.14,0.12,-1.01
0.14,0.11,-1.00
0.13,0.11,-0.99
0.13,0.10,-0.98
0.12,0.09,-0.97
0.11,0.08,-0.96
0.11,0.06,-0.96
0.11,0.05,-0.96
0.12,0.04,-0.97
0.12,0.03,-0.97
0.13,0.02,-0.97
0.14,0.02,-0.97
0.15,0.02,-0.98
0.16,0.02,-0.98
0.17,0.03,-0.98
0.19,0.03,-0.98
0.20,0.03,-0.99
0.22,0.03,-0.99
0.23,0.03,-0.99
0.24,0.02,-0.99
0.25,0.02,-0.99
0.25,0.02,-0.99
0.25,0.02,-0.98
0.25,0.03,-0.98
0.23,0.03,-0.97
0.22,0.04,-0.96
0.21,0.05,-0.96
0.20,0.05,-0.96
0.20,0.06,-0.96
0.20,0.06,-0.96
0.21,0.06,-0.96
0.22,0.05,-0.96
0.23,0.04,-0.96
0.24,0.03,-0.96
0.25,0.03,-0.96
0.25,0.03,-0.96
0.25,0.02,-0.96
0.25,0.02,-0.97
0.25,0.02,-0.97
0.24,0.02,-0.97
0.24,0.03,-0.96
0.23,0.03,-0.96
0.22,0.03,-0.95
0.21,0.03,-0.93
0.20,0.03,-0.93
0.19,0.03,-0.90
0.17,0.04,-0.90
0.15,0.05,-0.89
0.13,0.05,-0.89
0.10,0.05,-0.89
0.07,0.06,-0.90
0.05,0.07,-0.92
0.03,0.07,-0.92
0.01,0.08,-0.95
-0.00,0.08,-0.96
-0.01,0.08,-0.97
-0.01,0.08,-0.98
