sample39
ax,ay,az
0.21,-0.12,-0.54
0.18,-0.21,-0.51
0.16,-0.38,-0.49
0.15,-0.59,-0.47
0.14,-0.82,-0.47
0.14,-1.06,-0.47
0.15,-1.26,-0.47
0.17,-1.45,-0.48
0.18,-1.59,-0.49
0.18,-1.66,-0.50
0.19,-1.61,-0.51
0.20,-1.52,-0.51
0.20,-1.35,-0.51
0.21,-1.16,-0.51
0.22,-0.96,-0.51
0.22,-0.76,-0.52
0.21,-0.58,-0.52
0.20,-0.42,-0.53
0.18,-0.29,-0.54
0.16,-0.18,-0.55
0.14,-0.13,-0.54
0.12,-0.10,-0.53
0.10,-0.14,-0.52
0.09,-0.22,-0.51
0.09,-0.38,-0.50
0.09,-0.57,-0.49
0.10,-0.80,-0.49
0.10,-1.03,-0.50
0.12,-1.23,-0.51
0.13,-1.40,-0.52
0.14,-1.48,-0.53
0.16,-1.51,-0.54
0.17,-1.45,-0.55
0.19,-1.35,-0.55
0.20,-1.19,-0.55
0.21,-1.01,-0.54
0.21,-0.83,-0.54
0.21,-0.66,-0.55
0.21,-0.50,-0.55
0.20,-0.36,-0.56
0.19,-0.25,-0.55
0.18,-0.17,-0.55
0.18,-0.14,-0.54
0.18,-0.16,-0.52
0.19,-0.25,-0.50
0.20,-0.38,-0.49
0.21,-0.59,-0.47
0.21,-0.82,-0.47
0.22,-1.05,-0.47
0.22,-1.28,-0.48
0.21,-1.44,-0.49
0.21,-1.55,-0.50
0.20,-1.57,-0.50
0.19,-1.53,-0.51
0.19,-1.40,-0.51
0.19,-1.24,-0.51
0.20,-1.05,-0.51
0.20,-0.85,-0.51
0.20,-0.67,-0.52
0.19,-0.50,-0.52
0.18,-0.38,-0.52
0.16,-0.28,-0.52
0.14,-0.24,-0.51
0.12,-0.25,-0.50
0.10,-0.32,-0.49
0.09,-0.44,-0.48
0.08,-0.61,-0.47
0.07,-0.81,-0.46
0.06,-1.02,-0.47
0.05,-1.22,-0.47
0.05,-1.36,-0.48
0.05,-1.46,-0.48
0.05,-1.47,-0.49
0.05,-1.44,-0.49
0.05,-1.34,-0.49
0.06,-1.21,-0.49
0.07,-1.05,-0.49
0.09,-0.88,-0.50
0.10,-0.73,-0.50
0.11,-0.58,-0.51
0.12,-0.45,-0.53
0.14,-0.34,-0.54
0.15,-0.24,-0.56
0.17,-0.16,-0.57
0.20,-0.12,-0.57
0.23,-0.12,-0.56
0.26,-0.16,-0.56
0.30,-0.29,-0.55
0.34,-0.46,-0.54
0.36,-0.69,-0.54
0.37,-0.93,-0.54
0.37,-1.16,-0.54
0.35,-1.33,-0.55
0.33,-1.47,-0.55
0.30,-1.53,-0.55
0.26,-1.50,-0.55
0.23,-1.42,-0.54
0.20,-1.27,-0.53
0.18,-1.10,-0.52
0.16,-0.92,-0.51
0.15,-0.76,-0.50
0.14,-0.62,-0.50
0.12,-0.52,-0.51
0.10,-0.43,-0.51
0.09,-0.35,-0.52
0.07,-0.31,-0.53
0.06,-0.29,-0.54
0.06,-0.28,-0.55
0.06,-0.30,-0.55
0.08,-0.34,-0.55
0.11,-0.40,-0.55
0.15,-0.48,-0.55
0.20,-0.58,-0.55
0.26,-0.68,-0.55
0.33,-0.78,-0.55
0.39,-0.86,-0.55
0.46,-0.93,-0.55
0.51,-0.96,-0.55
0.56,-0.96,-0.55
0.60,-0.93,-0.55
0.63,-0.88,-0.54
0.66,-0.81,-0.54
0.70,-0.73,-0.53
0.73,-0.65,-0.53
0.76,-0.58,-0.53
0.80,-0.52,-0.54
0.84,-0.47,-0.54
0.88,-0.43,-0.56
0.92,-0.38,-0.58
0.96,-0.35,-0.59
1.00,-0.32,-0.61
1.03,-0.29,-0.63
1.05,-0.27,-0.64
1.06,-0.26,-0.65
1.05,-0.25,-0.65
1.02,-0.26,-0.65
0.98,-0.28,-0.64
0.90,-0.31,-0.62
0.81,-0.35,-0.60
0.70,-0.40,-0.58
0.58,-0.45,-0.56
0.45,-0.51,-0.54
0.31,-0.56,-0.52
0.18,-0.60,-0.49
0.05,-0.65,-0.47
-0.06,-0.69,-0.45
-0.15,-0.72,-0.43
-0.20,-0.75,-0.42
-0.24,-0.77,-0.42
-0.24,-0.80,-0.41
-0.23,-0.82,-0.42
-0.17,-0.85,-0.42
-0.10,-0.87,-0.43
-0.01,-0.87,-0.45
0.09,-0.87,-0.47
0.20,-0.86,-0.49
0.30,-0.83,-0.51
0.39,-0.80,-0.54
0.47,-0.75,-0.56
0.53,-0.71,-0.59
0.57,-0.66,-0.61
0.59,-0.63,-0.63
0.60,-0.60,-0.65
0.59,-0.59,-0.66
0.57,-0.59,-0.67
0.54,-0.59,-0.68
0.52,-0.59,-0.68
0.49,-0.60,-0.67
0.45,-0.62,-0.66
0.41,-0.66,-0.64
0.37,-0.72,-0.62
0.32,-0.79,-0.60
0.27,-0.88,-0.58
0.23,-0.97,-0.57
0.18,-1.07,-0.55
0.14,-1.14,-0.54
0.11,-1.20,-0.54
0.09,-1.22,-0.54
0.07,-1.21,-0.54
0.06,-1.15,-0.54
0.06,-1.06,-0.54
0.06,-0.95,-0.54
0.05,-0.82,-0.54
0.05,-0.69,-0.55
0.04,-0.55,-0.56
0.04,-0.41,-0.57
0.03,-0.28,-0.58
0.02,-0.16,-0.59
0.02,-0.05,-0.60
0.04,0.03,-0.59
0.06,0.08,-0.57
0.10,0.07,-0.54
0.14,0.00,-0.52
0.20,-0.18,-0.49
0.26,-0.41,-0.47
0.31,-0.68,-0.46
