sample34
ax,ay,az
0.57,-0.58,-0.46
0.53,-0.75,-0.46
0.47,-0.89,-0.45
0.42,-1.01,-0.45
0.35,-1.10,-0.44
0.28,-1.17,-0.44
0.20,-1.22,-0.43
0.11,-1.26,-0.43
0.10,-1.08,-0.42
0.09,-0.91,-0.41
0.07,-0.76,-0.42
0.06,-0.63,-0.43
0.04,-0.52,-0.45
0.02,-0.42,-0.47
0.02,-0.34,-0.50
0.02,-0.26,-0.52
0.02,-0.20,-0.53
0.04,-0.16,-0.53
0.05,-0.17,-0.52
0.07,-0.21,-0.50
0.09,-0.33,-0.49
0.11,-0.47,-0.49
0.12,-0.67,-0.48
0.13,-0.89,-0.48
0.12,-1.11,-0.48
0.12,-1.31,-0.49
0.12,-1.46,-0.51
0.12,-1.56,-0.52
0.12,-1.59,-0.52
0.11,-1.57,-0.51
0.11,-1.48,-0.50
0.11,-1.37,-0.50
0.10,-1.24,-0.48
0.09,-1.10,-0.47
0.07,-0.97,-0.47
0.05,-0.84,-0.47
0.04,-0.72,-0.47
0.02,-0.61,-0.48
0.01,-0.51,-0.49
0.00,-0.41,-0.51
0.01,-0.32,-0.52
0.01,-0.23,-0.54
0.03,-0.17,-0.53
0.05,-0.13,-0.52
0.07,-0.15,-0.51
0.09,-0.21,-0.49
0.10,-0.36,-0.47
0.11,-0.55,-0.45
0.11,-0.79,-0.43
0.11,-1.04,-0.42
0.10,-1.27,-0.43
0.10,-1.47,-0.44
0.11,-1.60,-0.45
0.11,-1.67,-0.46
0.12,-1.65,-0.46
0.12,-1.58,-0.46
0.13,-1.46,-0.46
0.13,-1.31,-0.45
0.12,-1.17,-0.45
0.11,-1.02,-0.44
0.09,-0.90,-0.45
0.06,-0.78,-0.45
0.04,-0.68,-0.46
0.01,-0.59,-0.47
-0.00,-0.51,-0.49
-0.01,-0.42,-0.50
-0.00,-0.35,-0.52
0.01,-0.27,-0.53
0.03,-0.23,-0.52
0.05,-0.21,-0.52
0.08,-0.25,-0.51
0.10,-0.33,-0.50
0.12,-0.48,-0.49
0.13,-0.67,-0.48
0.12,-0.90,-0.48
0.11,-1.13,-0.48
0.10,-1.33,-0.49
0.09,-1.50,-0.50
0.08,-1.59,-0.51
0.07,-1.63,-0.51
0.07,-1.58,-0.51
0.08,-1.48,-0.51
0.09,-1.33,-0.50
0.10,-1.17,-0.49
0.10,-1.02,-0.48
0.09,-0.87,-0.47
0.07,-0.74,-0.48
0.05,-0.63,-0.48
0.02,-0.54,-0.50
0.00,-0.45,-0.51
-0.01,-0.37,-0.53
-0.01,-0.29,-0.55
0.00,-0.22,-0.56
0.02,-0.16,-0.56
0.05,-0.14,-0.55
0.08,-0.13,-0.53
0.12,-0.19,-0.50
0.16,-0.30,-0.48
0.18,-0.49,-0.48
0.19,-0.71,-0.47
0.17,-0.97,-0.47
0.15,-1.22,-0.47
0.13,-1.44,-0.48
0.10,-1.62,-0.49
0.07,-1.72,-0.51
0.04,-1.76,-0.51
