sample31
ax,ay,az
0.13,-0.05,-0.99
0.11,-0.02,-0.99
0.09,0.00,-0.99
0.07,0.03,-0.99
0.06,0.05,-0.99
0.04,0.08,-0.99
0.02,0.10,-0.99
0.00,0.13,-0.99
0.00,0.13,-0.99
0.00,0.13,-0.99
0.00,0.13,-0.99
0.00,0.13,-0.99
0.01,0.13,-0.99
0.02,0.14,-0.99
0.04,0.14,-0.99
0.06,0.14,-0.99
0.08,0.14,-0.99
0.09,0.14,-0.99
0.09,0.15,-0.99
0.10,0.15,-0.99
0.09,0.16,-0.98
0.09,0.17,-0.98
0.07,0.19,-0.98
0.06,0.20,-0.98
0.05,0.22,-0.98
0.04,0.23,-0.98
0.05,0.24,-0.98
0.05,0.24,-0.98
0.06,0.24,-0.98
0.06,0.23,-0.98
0.05,0.22,-0.98
0.04,0.20,-0.98
0.02,0.18,-0.98
0.01,0.16,-0.99
-0.01,0.15,-0.99
-0.03,0.13,-0.99
-0.04,0.12,-0.99
-0.06,0.11,-0.99
-0.07,0.11,-1.00
-0.07,0.11,-1.00
-0.08,0.10,-1.00
-0.08,0.10,-1.00
-0.08,0.10,-1.00
-0.08,0.10,-1.00
-0.07,0.09,-1.00
-0.07,0.09,-1.00
-0.07,0.08,-1.00
-0.06,0.08,-1.00
-0.06,0.07,-1.00
-0.06,0.07,-1.00
-0.06,0.06,-1.00
-0.06,0.04,-1.00
-0.07,0.02,-1.00
-0.07,0.01,-1.00
-0.06,-0.00,-1.00
-0.06,-0.01,-1.00
-0.05,-0.02,-1.00
-0.04,-0.02,-1.00
-0.03,-0.02,-1.00
-0.02,-0.02,-0.99
-0.02,-0.02,-1.00
-0.01,-0.01,-1.00
-0.00,-0.01,-1.00
0.01,-0.01,-1.00
0.02,-0.01,-1.00
0.03,-0.01,-1.00
0.03,-0.02,-1.01
0.04,-0.02,-1.01
0.04,-0.03,-1.01
0.03,-0.03,-1.00
0.03,-0.03,-1.00
0.02,-0.03,-1.00
0.01,-0.02,-1.00
0.01,-0.02,-1.00
0.01,-0.01,-1.00
0.01,0.00,-1.00
0.02,0.01,-1.00
0.02,0.02,-1.00
0.02,0.02,-1.00
0.02,0.02,-1.00
0.02,0.02,-1.00
0.02,0.02,-1.00
0.02,0.02,-1.00
0.01,0.01,-1.00
0.01,0.01,-1.00
0.01,0.00,-1.00
0.01,0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.00,-1.00
0.00,-0.01,-1.00
0.00,-0.01,-1.00
-0.00,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.00,-0.00,-1.00
-0.01,-0.00,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.00,-1.00
-0.02,-0.00,-1.00
-0.02,-0.00,-1.00
-0.02,-0.00,-1.00
-0.02,-0.00,-1.00
-0.02,-0.01,-1.00
-0.01,-0.01,-1.00
-0.01,-0.01,-1.00
0.00,-0.01,-1.00
0.01,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.01,-1.00
0.02,-0.00,-1.00
0.03,0.00,-1.00
0.03,0.01,-1.01
0.04,0.01,-1.01
0.04,0.02,-1.01
0.04,0.02,-1.00
0.03,0.03,-1.00
0.03,0.03,-1.00
0.03,0.03,-1.00
0.02,0.03,-1.00
0.02,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.03,-1.00
0.01,0.03,-1.00
0.01,0.03,-1.00
0.01,0.03,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.05,-1.00
0.01,0.05,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.00,0.05,-1.00
0.00,0.05,-1.00
0.00,0.05,-1.00
0.00,0.05,-1.00
0.00,0.05,-1.00
0.01,0.05,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
0.01,0.04,-1.00
