sample29
ax,ay,az
0.04,0.04,-0.99
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.01
0.03,0.04,-1.01
0.03,0.04,-1.01
0.03,0.04,-1.01
0.03,0.04,-1.01
0.03,0.04,-1.01
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.04,-1.00
0.03,0.05,-1.00
0.03,0.05,-1.00
0.03,0.05,-1.00
0.03,0.06,-1.00
0.03,0.06,-0.99
0.03,0.06,-0.99
0.03,0.06,-0.99
0.03,0.06,-0.99
0.04,0.06,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.05,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99
0.04,0.06,-0.99




