sample8
ax,ay,az
0.03,-0.10,-0.99
0.04,-0.10,-0.99
0.04,-0.09,-1.00
0.04,-0.09,-1.00
0.05,-0.09,-1.00
0.05,-0.09,-1.00
0.06,-0.09,-0.99
0.08,-0.08,-0.99
0.09,-0.08,-0.99
0.11,-0.08,-1.00
0.14,-0.08,-1.00
0.18,-0.08,-1.00
0.22,-0.08,-1.01
0.28,-0.09,-1.03
0.35,-0.10,-1.04
0.43,-0.11,-1.07
0.50,-0.12,-1.09
0.56,-0.13,-1.12
0.60,-0.14,-1.15
0.62,-0.15,-1.19
0.61,-0.16,-1.22
0.57,-0.16,-1.25
0.52,-0.16,-1.27
0.43,-0.15,-1.29
0.35,-0.14,-1.31
0.25,-0.12,-1.32
0.15,-0.10,-1.32
0.06,-0.07,-1.32
-0.03,-0.05,-1.32
-0.12,-0.02,-1.31
-0.20,0.01,-1.30
-0.27,0.03,-1.29
-0.34,0.06,-1.28
-0.39,0.07,-1.26
-0.44,0.09,-1.24
-0.48,0.10,-1.22
-0.51,0.11,-1.21
-0.53,0.11,-1.19
-0.54,0.11,-1.16
-0.55,0.10,-1.14
-0.56,0.10,-1.13
-0.56,0.09,-1.11
-0.56,0.08,-1.09
-0.55,0.07,-1.07
-0.54,0.05,-1.06
-0.52,0.04,-1.04
-0.51,0.02,-1.02
-0.49,0.01,-1.00
-0.48,-0.00,-0.97
-0.46,-0.01,-0.95
-0.45,-0.02,-0.93
-0.43,-0.03,-0.90
-0.42,-0.04,-0.88
-0.41,-0.04,-0.86
-0.40,-0.05,-0.84
-0.39,-0.06,-0.82
-0.38,-0.07,-0.80
-0.37,-0.07,-0.78
-0.37,-0.08,-0.76
-0.36,-0.08,-0.74
-0.35,-0.08,-0.71
-0.34,-0.07,-0.69
-0.34,-0.07,-0.67
-0.33,-0.05,-0.65
-0.32,-0.04,-0.64
-0.31,-0.03,-0.63
-0.30,-0.02,-0.62
-0.29,-0.01,-0.62
-0.27,0.00,-0.62
-0.26,0.01,-0.62
-0.24,0.01,-0.62
-0.22,0.01,-0.63
-0.19,0.01,-0.63
-0.16,0.01,-0.64
-0.12,0.01,-0.64
-0.09,0.01,-0.63
-0.05,0.01,-0.63
-0.00,0.01,-0.63
0.04,0.02,-0.63
0.08,0.02,-0.62
0.11,0.02,-0.62
0.15,0.02,-0.62
0.18,0.03,-0.62
0.21,0.02,-0.62
0.24,0.02,-0.62
0.27,0.02,-0.62
0.29,0.02,-0.63
0.31,0.02,-0.64
0.32,0.02,-0.65
0.32,0.02,-0.66
0.32,0.02,-0.68
0.32,0.01,-0.71
0.32,0.01,-0.73
0.32,0.01,-0.76
0.32,0.00,-0.78
0.32,-0.00,-0.80
0.33,-0.01,-0.82
0.34,-0.01,-0.83
0.35,-0.01,-0.84
0.36,-0.01,-0.85
0.37,-0.00,-0.86
0.38,-0.00,-0.86
0.39,0.00,-0.87
0.39,0.00,-0.88
0.40,0.01,-0.89
0.40,0.01,-0.90
0.41,0.00,-0.92
0.41,-0.00,-0.94
0.42,-0.01,-0.96
0.43,-0.02,-0.99
0.43,-0.03,-1.02
0.44,-0.04,-1.05
0.45,-0.05,-1.08
0.45,-0.07,-1.10
0.45,-0.08,-1.13
0.45,-0.10,-1.16
0.45,-0.11,-1.19
0.44,-0.13,-1.21
0.43,-0.14,-1.24
0.42,-0.16,-1.27
0.40,-0.17,-1.30
0.39,-0.18,-1.32
0.37,-0.19,-1.34
0.35,-0.19,-1.35
0.33,-0.19,-1.35
0.30,-0.18,-1.35
0.27,-0.17,-1.34
0.24,-0.16,-1.32
0.22,-0.14,-1.30
0.19,-0.12,-1.28
0.16,-0.10,-1.26
0.14,-0.08,-1.23
0.12,-0.07,-1.21
0.11,-0.06,-1.19
0.09,-0.05,-1.17
